

1519639739.320348009  Node Startup
1519640150.518540019 INFO [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle_frame.cpp:184(__cxx11::string turtlesim::TurtleFrame::spawnTurtle) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Spawning turtle [turtle1] at x=[5,544445], y=[5,544445], theta=[0,000000]
1519640255.056040597 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,757690, y=-0,011974])
1519640255.488124035 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,944030, y=-0,014435])
1519640255.503801769 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,950932, y=-0,014435])
1519640255.519513437 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,957833, y=-0,014435])
1519640255.536178702 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,964735, y=-0,014435])
1519640255.551880329 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,971636, y=-0,014435])
1519640255.567565223 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,978538, y=-0,014435])
1519640255.583274511 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,985439, y=-0,014435])
1519640255.599968021 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,992341, y=-0,014435])
1519640255.615625636 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=10,999242, y=-0,014435])
1519640255.631287686 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,006144, y=-0,014435])
1519640255.647919506 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,013045, y=-0,014435])
1519640255.663557308 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,019947, y=-0,014435])
1519640255.680175532 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,026848, y=-0,014435])
1519640255.695793434 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,033750, y=-0,014435])
1519640255.711432324 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,040651, y=-0,014435])
1519640255.728081645 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,047553, y=-0,014435])
1519640255.743659987 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,054454, y=-0,014435])
1519640255.759409585 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,061356, y=-0,014435])
1519640255.776121719 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,068257, y=-0,014435])
1519640255.791774101 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,075159, y=-0,014435])
1519640255.807484784 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,082060, y=-0,014435])
1519640255.824182610 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,088962, y=-0,014435])
1519640255.839795322 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,095791, y=-0,014435])
1519640255.856015050 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,095791, y=-0,014435])
1519640255.872203275 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,095791, y=-0,014435])
1519640255.887420481 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,095791, y=-0,014435])
1519640255.903643383 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,095791, y=-0,014435])
1519640257.215318667 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,010560])
1519640257.231890655 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,021119])
1519640257.247498709 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,031679])
1519640257.264126263 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,042238])
1519640257.279702204 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,052798])
1519640257.295329056 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,063357])
1519640257.311924424 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,073917])
1519640257.327534734 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,084476])
1519640257.344182089 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,095036])
1519640257.359797905 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,105595])
1519640257.375446276 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,116155])
1519640257.392113192 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,126714])
1519640257.407718105 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,137274])
1519640257.423385787 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,147833])
1519640257.440011102 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,158393])
1519640257.455655437 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,168952])
1519640257.471358113 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,179512])
1519640257.488075337 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,190071])
1519640257.503762710 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,200631])
1519640257.519482847 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,211190])
1519640257.536164757 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,221750])
1519640257.551862569 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,232309])
1519640257.567563579 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,242869])
1519640257.584246117 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,253428])
1519640257.599950788 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,263988])
1519640257.615599115 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,274547])
1519640257.632260245 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,285107])
1519640257.647911197 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,295666])
1519640257.663498181 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,306226])
1519640257.680097098 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,316785])
1519640257.695794669 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,327345])
1519640257.711493332 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,337904])
1519640257.728147747 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,348464])
1519640257.743733962 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,359023])
1519640257.759564386 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,369583])
1519640257.776169570 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,380142])
1519640257.791870815 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,390702])
1519640257.807576081 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,401261])
1519640257.823230692 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,411821])
1519640257.839834585 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,422380])
1519640257.855512025 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,432940])
1519640257.872211407 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,443499])
1519640257.887895347 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,454059])
1519640257.903599463 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,464618])
1519640257.919312815 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,475178])
1519640257.936017668 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,485737])
1519640257.951721660 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,496297])
1519640257.967440379 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,506856])
1519640257.984142618 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,517416])
1519640257.999849664 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,527975])
1519640258.020270636 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,538535])
1519640258.032088872 WARN [/tmp/binarydeb/ros-kinetic-turtlesim-0.7.1/src/turtle.cpp:162(Turtle::update) [topics: /rosout, /turtle1/pose, /turtle1/color_sensor] Oh no! I hit the wall! (Clamping from [x=11,100910, y=0,549094])
